Source,Target,Type,Id,Label,timeset,Weight
569925919,1475618287,Undirected,386,,,1
569925919,1613107211,Undirected,387,,,1
570503073,1662637203,Undirected,388,,,1
572592023,1500960965,Undirected,389,,,1
572592023,1584580565,Undirected,390,,,1
572592023,1625853016,Undirected,391,,,1
583317985,1418493023,Undirected,392,,,1
583317985,1466663244,Undirected,393,,,1
583317985,1576592772,Undirected,394,,,1
604678719,1420714768,Undirected,395,,,1
604678719,1479138290,Undirected,396,,,1
604678719,1530886472,Undirected,397,,,1
604678719,1541677055,Undirected,398,,,1
604678719,1587877194,Undirected,399,,,1
604678719,1613107211,Undirected,400,,,1
604678719,1624542026,Undirected,401,,,1
604678719,1640977393,Undirected,402,,,1
604678719,1650095361,Undirected,403,,,1
604678719,1662637203,Undirected,404,,,1
611832495,1472438754,Undirected,405,,,1
611832495,1500960965,Undirected,406,,,1
611832495,1584580565,Undirected,407,,,1
611832495,1637473885,Undirected,408,,,1
618222551,1467700151,Undirected,409,,,1
626452503,1420714768,Undirected,410,,,1
626452503,1479138290,Undirected,411,,,1
626452503,1530886472,Undirected,412,,,1
626452503,1541677055,Undirected,413,,,1
626452503,1587877194,Undirected,414,,,1
626452503,1613107211,Undirected,415,,,1
626452503,1624542026,Undirected,416,,,1
626452503,1640977393,Undirected,417,,,1
626452503,1650095361,Undirected,418,,,1
626452503,1662637203,Undirected,419,,,1
631274226,1455608636,Undirected,420,,,1
631274226,1649949278,Undirected,421,,,1
633000389,1637473885,Undirected,422,,,1
635630398,1479138290,Undirected,423,,,1
639647750,1530886472,Undirected,424,,,1
640611955,1479138290,Undirected,425,,,1
640611955,1530886472,Undirected,426,,,1
640611955,1541677055,Undirected,427,,,1
640611955,1587877194,Undirected,428,,,1
640611955,1613107211,Undirected,429,,,1
640611955,1640977393,Undirected,430,,,1
640611955,1650095361,Undirected,431,,,1
640611955,1662637203,Undirected,432,,,1
640887158,1584580565,Undirected,433,,,1
641527218,1420714768,Undirected,434,,,1
641527218,1479138290,Undirected,435,,,1
641527218,1530886472,Undirected,436,,,1
641527218,1541677055,Undirected,437,,,1
641527218,1587877194,Undirected,438,,,1
641527218,1613107211,Undirected,439,,,1
641527218,1624542026,Undirected,440,,,1
641527218,1640977393,Undirected,441,,,1
641527218,1662637203,Undirected,442,,,1
645684047,1455608636,Undirected,443,,,1
645684047,1649949278,Undirected,444,,,1
651928572,1420714768,Undirected,445,,,1
651928572,1479138290,Undirected,446,,,1
651928572,1530886472,Undirected,447,,,1
651928572,1541677055,Undirected,448,,,1
651928572,1587877194,Undirected,449,,,1
651928572,1613107211,Undirected,450,,,1
651928572,1640977393,Undirected,451,,,1
651928572,1662637203,Undirected,452,,,1
657927805,1455608636,Undirected,453,,,1
657927805,1649949278,Undirected,454,,,1
670161715,1547213526,Undirected,455,,,1
672024580,1625853016,Undirected,456,,,1
672024580,1637473885,Undirected,457,,,1
677924538,1420714768,Undirected,458,,,1
677924538,1541677055,Undirected,459,,,1
677924538,1613107211,Undirected,460,,,1
677924538,1662637203,Undirected,461,,,1
677940123,1576592772,Undirected,462,,,1
678200621,1500960965,Undirected,463,,,1
678200621,1584580565,Undirected,464,,,1
531013568,1796156007,Undirected,465,,,1
531013568,1815600073,Undirected,466,,,1
534275844,1763004251,Undirected,467,,,1
537347192,1725925731,Undirected,468,,,1
540657595,1686747733,Undirected,469,,,1
540657595,1700278182,Undirected,470,,,1
540657595,1709826031,Undirected,471,,,1
540657595,1763645985,Undirected,472,,,1
540657595,1801428962,Undirected,473,,,1
540657595,1843175462,Undirected,474,,,1
551074991,1676610433,Undirected,475,,,1
551074991,1682305565,Undirected,476,,,1
551074991,1694394479,Undirected,477,,,1
551074991,1700278182,Undirected,478,,,1
551074991,1703185358,Undirected,479,,,1
551074991,1719925013,Undirected,480,,,1
551074991,1763004251,Undirected,481,,,1
551074991,1835140268,Undirected,482,,,1
560236619,1696583095,Undirected,483,,,1
560236619,1725925731,Undirected,484,,,1
560236619,1773116258,Undirected,485,,,1
570503073,1725925731,Undirected,486,,,1
570503073,1784395712,Undirected,487,,,1
572592023,1674303314,Undirected,488,,,1
572592023,1676610433,Undirected,489,,,1
572592023,1686747733,Undirected,490,,,1
572592023,1700278182,Undirected,491,,,1
572592023,1702465243,Undirected,492,,,1
572592023,1703185358,Undirected,493,,,1
577401938,1694394479,Undirected,494,,,1
577401938,1700278182,Undirected,495,,,1
577401938,1835140268,Undirected,496,,,1
604678719,1696583095,Undirected,497,,,1
604678719,1713485075,Undirected,498,,,1
604678719,1725298982,Undirected,499,,,1
604678719,1725925731,Undirected,500,,,1
604678719,1760996655,Undirected,501,,,1
604678719,1773116258,Undirected,502,,,1
611832495,1676610433,Undirected,503,,,1
611832495,1703185358,Undirected,504,,,1
611832495,1719925013,Undirected,505,,,1
611832495,1835140268,Undirected,506,,,1
613852547,1828748617,Undirected,507,,,1
618222551,1838726835,Undirected,508,,,1
626452503,1696583095,Undirected,509,,,1
633000389,1703185358,Undirected,510,,,1
633000389,1791636295,Undirected,511,,,1
639647750,1828141558,Undirected,512,,,1
640611955,1760996655,Undirected,513,,,1
640887158,1703185358,Undirected,514,,,1
640887158,1835140268,Undirected,515,,,1
641527218,1696583095,Undirected,516,,,1
641527218,1725925731,Undirected,517,,,1
651928572,1696583095,Undirected,518,,,1
654961381,1828748617,Undirected,519,,,1
672024580,1703185358,Undirected,520,,,1
672024580,1760995184,Undirected,521,,,1
672024580,1801428962,Undirected,522,,,1
677924538,1696583095,Undirected,523,,,1
677924538,1713485075,Undirected,524,,,1
678200621,1674303314,Undirected,525,,,1
678200621,1819864125,Undirected,526,,,1
530759938,1851967148,Undirected,527,,,1
530759938,100000051294794,Undirected,528,,,1
531013568,100000001633699,Undirected,529,,,1
540657595,100000032237806,Undirected,530,,,1
540657595,100000105028850,Undirected,531,,,1
542798668,100000013749622,Undirected,532,,,1
542798668,100000053913018,Undirected,533,,,1
544552466,100000063101730,Undirected,534,,,1
